UF,Município,Situação do Plano,Valor Disponível
SP,ALVARES MACHADO,Autorizado,243494.26
SP,ALVARO DE CARVALHO,Autorizado,66758.71
SP,ALVINLANDIA,Autorizado,52427.44
MG,ALVINOPOLIS,Autorizado,157873.88
RS,ALVORADA,Autorizado,1718568.11
TO,ALVORADA,Autorizado,82567.96
RO,ALVORADA D'OESTE,Autorizado,133451.59
MG,ALVORADA DE MINAS,Autorizado,56794.36
PI,ALVORADA DO GURGUEIA,Autorizado,64162.19
GO,ALVORADA DO NORTE,Autorizado,89165.21
PR,ALVORADA DO SUL,Autorizado,124693.02
RR,AMAJARI,Autorizado,110148.7
MS,AMAMBAI,Autorizado,373296.45
AP,AMAPA,Autorizado,79674.28
MA,AMAPA DO MARANHAO,Autorizado,76014.31
PR,AMAPORA,Autorizado,77633.53
PE,AMARAJI,Autorizado,224660.81
RS,AMARAL FERRADOR,Autorizado,78377.31
GO,AMARALINA,Autorizado,55404.64
PI,AMARANTE,Autorizado,174532.19
MA,AMARANTE DO MARANHAO,Autorizado,372644.11
BA,AMARGOSA,Autorizado,360088.59
AM,AMATURA,Autorizado,116704.94
BA,AMELIA RODRIGUES,Autorizado,250481.16
BA,AMERICA DOURADA,Autorizado,166661.7
SP,AMERICANA,Autorizado,1939913.02
GO,AMERICANO DO BRASIL,Autorizado,71647.68
SP,AMERICO BRASILIENSE,Autorizado,377494.9
SP,AMERICO DE CAMPOS,Autorizado,71420.37
RS,AMETISTA DO SUL,Autorizado,80178.26
CE,AMONTADA,Autorizado,415124.95
GO,AMORINOPOLIS,Autorizado,49420.01
SP,AMPARO,Autorizado,636255.99
PB,AMPARO,Autorizado,47246.14
SE,AMPARO DE SAO FRANCISCO,Autorizado,46872.52
MG,AMPARO DO SERRA,Autorizado,63984.23
PR,AMPERE,Autorizado,201370.47
AL,ANADIA,Autorizado,188820.02
BA,ANAGE,Autorizado,213333.68
PR,ANAHY,Autorizado,52482.8
PA,ANAJAS,Autorizado,265941.34
MA,ANAJATUBA,Autorizado,251669.09
SP,ANALANDIA,Autorizado,65338.74
AM,ANAMA,Autorizado,141548.54
TO,ANANAS,Autorizado,89868.65
PA,ANANINDEUA,Autorizado,4016930.14
GO,ANAPOLIS,Autorizado,3019058.62
PA,ANAPU,Autorizado,260545.47
MA,ANAPURUS,Autorizado,156537.57
MS,ANASTACIO,Autorizado,249008.75
MS,ANAURILANDIA,Autorizado,94649.81
ES,ANCHIETA,Autorizado,279848.36
SC,ANCHIETA,Autorizado,64393.65
BA,ANDARAI,Autorizado,146131.07
PR,ANDIRA,Autorizado,203843.29
BA,ANDORINHA,Autorizado,155094.19
MG,ANDRADAS,Autorizado,384339.93
SP,ANDRADINA,Autorizado,506182.78
RS,ANDRE DA ROCHA,Autorizado,38306.56
MG,ANDRELANDIA,Autorizado,126860.61
SP,ANGATUBA,Autorizado,247968.89
MG,ANGELANDIA,Autorizado,91351.49
MS,ANGELICA,Autorizado,118762.82
PE,ANGELIM,Autorizado,122258.84
SC,ANGELINA,Autorizado,58914.67
BA,ANGICAL,Autorizado,151533.86
PI,ANGICAL DO PIAUI,Autorizado,73236.14
TO,ANGICO,Autorizado,48585.73
RN,ANGICOS,Autorizado,122916.71
RJ,ANGRA DOS REIS,Autorizado,1687190.83
BA,ANGUERA,Autorizado,122940.82
PR,ANGULO,Autorizado,53570.29
GO,ANHANGUERA,Autorizado,36674.95
SP,ANHEMBI,Autorizado,77779.05
SP,ANHUMAS,Autorizado,58806.91
GO,ANICUNS,Autorizado,210297
PI,ANISIO DE ABREU,Autorizado,95505.37
SC,ANITA GARIBALDI,Autorizado,73439.88
SC,ANITAPOLIS,Autorizado,48780.94
AM,ANORI,Autorizado,203013.44
RS,ANTA GORDA,Autorizado,70099.95
BA,ANTAS,Autorizado,202458.81
PR,ANTONINA,Autorizado,197581.6
CE,ANTONINA DO NORTE,Autorizado,83971.38
PI,ANTONIO ALMEIDA,Autorizado,48272.42
BA,ANTONIO CARDOSO,Autorizado,125025.75
MG,ANTONIO CARLOS,Autorizado,121887.28
